%=============================================================================
% Daniel J. Greenhoe 
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_dft_basis.tex"
% Note: The Euclidean norm of this vector is sqrt(N/2)=sqrt(100/2)=7.07106781
%       To normalize, scale by 1/sqrt(N/2)=0.14142136
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
%=============================================================================
[
  (  0.00000000,   1.00000000)
  (  0.06000000,   0.99211470)
  (  0.12000000,   0.96858316)
  (  0.18000000,   0.92977649)
  (  0.24000000,   0.87630668)
  (  0.30000000,   0.80901699)
  (  0.36000000,   0.72896863)
  (  0.42000000,   0.63742399)
  (  0.48000000,   0.53582679)
  (  0.54000000,   0.42577929)
  (  0.60000000,   0.30901699)
  (  0.66000000,   0.18738131)
  (  0.72000000,   0.06279052)
  (  0.78000000,  -0.06279052)
  (  0.84000000,  -0.18738131)
  (  0.90000000,  -0.30901699)
  (  0.96000000,  -0.42577929)
  (  1.02000000,  -0.53582679)
  (  1.08000000,  -0.63742399)
  (  1.14000000,  -0.72896863)
  (  1.20000000,  -0.80901699)
  (  1.26000000,  -0.87630668)
  (  1.32000000,  -0.92977649)
  (  1.38000000,  -0.96858316)
  (  1.44000000,  -0.99211470)
  (  1.50000000,  -1.00000000)
  (  1.56000000,  -0.99211470)
  (  1.62000000,  -0.96858316)
  (  1.68000000,  -0.92977649)
  (  1.74000000,  -0.87630668)
  (  1.80000000,  -0.80901699)
  (  1.86000000,  -0.72896863)
  (  1.92000000,  -0.63742399)
  (  1.98000000,  -0.53582679)
  (  2.04000000,  -0.42577929)
  (  2.10000000,  -0.30901699)
  (  2.16000000,  -0.18738131)
  (  2.22000000,  -0.06279052)
  (  2.28000000,   0.06279052)
  (  2.34000000,   0.18738131)
  (  2.40000000,   0.30901699)
  (  2.46000000,   0.42577929)
  (  2.52000000,   0.53582679)
  (  2.58000000,   0.63742399)
  (  2.64000000,   0.72896863)
  (  2.70000000,   0.80901699)
  (  2.76000000,   0.87630668)
  (  2.82000000,   0.92977649)
  (  2.88000000,   0.96858316)
  (  2.94000000,   0.99211470)
  (  3.00000000,   1.00000000)
  (  3.06000000,   0.99211470)
  (  3.12000000,   0.96858316)
  (  3.18000000,   0.92977649)
  (  3.24000000,   0.87630668)
  (  3.30000000,   0.80901699)
  (  3.36000000,   0.72896863)
  (  3.42000000,   0.63742399)
  (  3.48000000,   0.53582679)
  (  3.54000000,   0.42577929)
  (  3.60000000,   0.30901699)
  (  3.66000000,   0.18738131)
  (  3.72000000,   0.06279052)
  (  3.78000000,  -0.06279052)
  (  3.84000000,  -0.18738131)
  (  3.90000000,  -0.30901699)
  (  3.96000000,  -0.42577929)
  (  4.02000000,  -0.53582679)
  (  4.08000000,  -0.63742399)
  (  4.14000000,  -0.72896863)
  (  4.20000000,  -0.80901699)
  (  4.26000000,  -0.87630668)
  (  4.32000000,  -0.92977649)
  (  4.38000000,  -0.96858316)
  (  4.44000000,  -0.99211470)
  (  4.50000000,  -1.00000000)
  (  4.56000000,  -0.99211470)
  (  4.62000000,  -0.96858316)
  (  4.68000000,  -0.92977649)
  (  4.74000000,  -0.87630668)
  (  4.80000000,  -0.80901699)
  (  4.86000000,  -0.72896863)
  (  4.92000000,  -0.63742399)
  (  4.98000000,  -0.53582679)
  (  5.04000000,  -0.42577929)
  (  5.10000000,  -0.30901699)
  (  5.16000000,  -0.18738131)
  (  5.22000000,  -0.06279052)
  (  5.28000000,   0.06279052)
  (  5.34000000,   0.18738131)
  (  5.40000000,   0.30901699)
  (  5.46000000,   0.42577929)
  (  5.52000000,   0.53582679)
  (  5.58000000,   0.63742399)
  (  5.64000000,   0.72896863)
  (  5.70000000,   0.80901699)
  (  5.76000000,   0.87630668)
  (  5.82000000,   0.92977649)
  (  5.88000000,   0.96858316)
  (  5.94000000,   0.99211470)
]
